product_company,url,category,relationship,positioning_target,public_pricing,core_workflow,ai_model,privacy_posture,strengths,weaknesses,likely_moat,engine_overlap,evidence_confidence,sources
Dex / Dex,https://getdex.com/,Personal CRM,Adjacent,Network-driven professionals and job seekers.,Approximately $12/month annually or $20 monthly in official comparison material; dynamic pricing text not stable.,"LinkedIn/Gmail/Outlook/calendar sync, reminders, job-change alerts, notes, AI organization, briefings, mail merge and MCP.",AI Assist; provider not highlighted.,"Says no data sale, encryption, deletion/export and requested-field-only AI/MCP sharing.",Clear individual networking habit loop.,"Relationship-only; no role evidence, fit or materials.",Synchronized contact graph and engagement history.,Networking and outreach context.,M,https://getdex.com/security/; https://getdex.com/privacypolicy/; https://getdex.com/integrations/mcp-server/
folk / folk,https://www.folk.app/pricing,Collaborative relationship CRM and outreach,Adjacent,"Teams, recruiters, coaches and service firms.",Standard $24/seat/month annually or $30 monthly; Premium $48/$60; Enterprise from $80 annually.,"Relationship pipeline, enrichment, LinkedIn extension, email/calendar/WhatsApp sync, campaigns, sequences, dashboards and AI fields.",Subprocessors include OpenAI and Perplexity.,Says no sale or AI training on personal data; security docs say full email bodies are stored and AI controls are available.,"Shared network, outreach and coach/client collaboration.","Sales-centric, more email-invasive than Mesh and no career canon.",Integrated relationship/outreach collaboration.,Strong outreach layer and potential coach workspace.,H,https://www.folk.app/privacy-policy; https://help.folk.app/en/articles/5007534-security-privacy
Attio / Attio,https://attio.com/pricing,AI-native flexible CRM,Substitute,Sophisticated individuals and teams building structured workflows.,Free; Plus $36 monthly/$29 annually; Pro $86 monthly/$69 annually; Enterprise quote.,"Flexible records, contact sync, enrichment, sequences, call intelligence, workflows, MCP and Ask Attio actions.",February 2026 notes identify Claude Sonnet 4.6 and Gemini 3.1 Pro choices.,AI policy says Attio/providers do not train on customer data and product is not intended for high-risk/significant automated decisions.,"Modern AI interaction, flexible schema, workflow action and model choice.","GTM/sales orientation, credit complexity and no candidate provenance.",AI-native CRM architecture and communication graph.,"Can approximate tracking, outreach, evidence records and approvals.",H,https://attio.com/help/reference/attio-ai/attio-ai-policy; https://attio.com/legal/privacy
SeekOut / SeekOut,https://www.seekout.com/pricing/,Recruiting intelligence and sourcing,Adjacent,Recruiters and talent teams; reverse-side benchmark.,Recruit Core $149/month annually or $179 monthly; enterprise quote.,"Search across a claimed 1B+ profiles, AI search, Smart Match, lookalikes, summaries, outreach, campaigns and explainable ranking.",Security material cites Azure AI.,Candidate database combines licensed/public vocational data and may infer job-change likelihood/demographics; client data not used for AI training; opt-outs available.,"Sourcing breadth, explainability and recruiter workflow.",Employer-side agency and significant candidate-data/inference concerns.,"Large profile database, recruiter integrations and search behavior.","Reverse-side discovery, matching, outreach and audit benchmark.",H,https://www.seekout.com/privacy/; https://www.seekout.com/security/; https://www.seekout.com/responsible-ai/
Eightfold AI / Eightfold,https://eightfold.ai/products/,Talent intelligence and skills platform,Adjacent,Large employers; reverse-side architectural benchmark.,Custom/quote based.,"Talent acquisition, internal mobility, workforce exchange, deep-learning career/skills matching, agents and AI Interviewer.",Proprietary deep-learning platform; public provider detail limited.,May 2026 privacy covers candidates; responsible-AI material says identity signals are stripped before training and fairness evaluations occur; cites SOC/ISO controls.,"Sophisticated career graph, matching and enterprise scale.",Employer-controlled scoring; no private candidate material/evidence OS.,"Global career corpus, skills ontology and integrations.","Reverse-side fit/gap, interview and career-path benchmark.",H,https://eightfold.ai/privacy-notice/; https://eightfold.ai/blog/responsible-ai-data-underneath-decision/; https://eightfold.ai/products/ai-interviewer/
Phenom / Phenom,https://www.phenom.com/intelligent-talent-experience-platform,End-to-end talent experience platform,Adjacent,Enterprise recruiting and HR teams.,Quote/RFP based.,"Candidate recommendations, sourcing, fit scores, screening, scheduling, talent CRM, interview intelligence, internal marketplace and learning/mentoring.",Provider/model not public.,"AI ethics page describes matching inputs, fit-score auditing, privacy/fairness controls and PII-sharing limits; advertises GDPR/ISO/SOC controls.",Broad talent lifecycle and installed enterprise integrations.,Heavy implementation and employer-defined objectives.,"Enterprise event data, installed stack and integrations.","Reverse-side benchmark across discovery, fit, interviews and career paths.",H,https://www.phenom.com/pricing; https://www.phenom.com/ai-ethics
Beamery / Beamery,https://beamery.com/platform/talent-intelligence/,"Talent CRM, skills and workforce intelligence",Adjacent,Enterprise HR and recruiting teams.,Custom pricing.,"Talent CRM, sourcing, matching, skills intelligence, role architecture, mobility, workforce planning and Ray agent.",Ray; underlying providers not fully public.,"Security cites ISO 27001, SOC 2, encryption and selectable regions; privacy distinguishes customer-directed processing and permits some controller-context improvement/AI training.",Combined talent CRM and workforce/skills planning.,"Enterprise implementation, opaque pricing and no candidate-owned boundary.","Skills graph, talent data and integrations.","Reverse-side evidence, matching and planning benchmark.",H,https://beamery.com/security; https://beamery.com/privacy-policy
Gloat / Gloat,https://gloat.com/platform/,Internal talent marketplace and agentic HR,Adjacent,Large employers; closest employer-side architectural analogue.,Sales/demo; exact price not public.,"Internal jobs, projects, mentorship, learning, career paths, skill gaps, planning and agentic workflows using a Workforce Graph.","Model-agnostic across Anthropic, Google, IBM watsonx or customer infrastructure; proprietary models and embeddings.",Says third-party GenAI does not store/train on personal data; proprietary models may use anonymized/aggregated data; no automatic employee applications and human review available.,"Context graph, career trajectories, matching, audit trails, approvals and model flexibility.","Employer owns access, context and opportunity set.","Workforce graph, enterprise deployments and HR-system context.","Strong architecture benchmark for memory, policy, gap analysis and approvals.",H,https://gloat.com/users-privacy/; https://gloat.com/security-and-compliance/
Fuel50 / Fuel50,https://fuel50.com/,Skills intelligence and internal talent marketplace,Adjacent,Enterprise HR teams.,Quote based by employees/modules and annual or multiyear term.,"Human-curated AI-amplified skills ontology, gaps, internal jobs/projects/gigs, learning, mentorship, career paths and AI Career Advisor.",Provider/model not public.,"Materials cite SOC 2 Type II, GDPR, privacy-by-design and NYC Local Law 144 bias-audit support.","Governed, curated skills evidence and actionable career-gap logic.",Internal-only enterprise product; no external application/material system.,"Curated ontology, people-science expertise and integrations.",Benchmark for fit/gap evidence and career decision support.,H,https://fuel50.com/pricing; https://fuel50.com/products/talent-marketplace; https://fuel50.com/privacy-and-legal
ExecThread / ExecThread,https://execthread.com/faq/,Executive opportunity network,Partial,Director-to-C-suite members seeking confidential and nonpublic opportunities.,"Current FAQ says member use is free; older Full Access pages remain, so premium status is inconsistent.",Members share hidden executive roles and connect to recruiters/hiring managers; points unlock access; activity can be anonymous.,No named AI/model found.,"Privacy permits LinkedIn, public and third-party career data and profile presentation to relevant hiring firms.",Genuine hidden-role supply and executive network effects.,"No public evidence of complete candidate OS, canon, versions or decisions.",Crowdsourced confidential-search graph and executive network.,High on hidden discovery and recruiter access; little document/evidence workflow.,M,https://execthread.com/faq-member/faq-member-getting-started/how-much-does-execthread-cost; https://execthread.com/privacy-policy; https://execthread.com/legal
BlueSteps / AESC,https://www.aesc.org/about-bluesteps/,Executive-search network and career service,Partial,Senior executives seeking visibility to retained-search consultants.,Current public price unavailable; prior membership structure remains referenced in FAQs.,"Executive profile/database visibility, search-firm access, career resources, services and compensation tools.",No current named AI/model found.,"AESC privacy covers resumes, qualifications, employment, compensation, geographic preferences, diversity and international processing.",Institutional credibility and privileged executive-search channel.,Visibility/resources rather than end-to-end candidate workflow.,AESC affiliation and search-consultant network.,"Discovery, recruiter access and evidence inputs; limited source/version controls.",H,https://www.bluesteps.com/member-benefits; https://www.bluesteps.com/faq; https://www.aesc.org/privacy-policy/
Ladders / TheLadders,https://www.theladders.com/upgrade,High-income job marketplace and application service,Partial,Professionals targeting $100k+ roles.,$49.97 monthly; $98.91/3 months; $179.82/6 months; $299.64/year.,"Curated senior jobs, Apply4Me and browser extension that turns outside jobs into one-click applications.",Named model not public.,"Privacy covers resume, employment, salary and preference data; Apply4Me submits at member direction and profiles may be shared with recruiters by settings.",Senior-job inventory plus application rails.,Quantity/automation rather than executive evidence and deliberation.,High-income job corpus and brand.,Discovery/materials/application execution; conflicts with no automatic employer actions.,H,https://www.theladders.com/corporate/privacy
Experteer / Experteer,https://us.experteer.com/docs/advantages_membership,Executive career and recruiter marketplace,Partial,Senior candidates seeking discreet recruiter visibility and salary context.,Basic free; Premium amount account-gated.,"Curated senior jobs, matching, salary estimates, recruiter search and visibility controls.",Recruiter products advertise AI-powered active sourcing; model not named.,Privacy identifies CV-parsing/career-service providers and GDPR rights; salary estimates are explicitly approximate.,"Executive role corpus, recruiter network and salary data.",Opaque price and estimated compensation rather than source-backed economics.,"Executive corpus, recruiter distribution and salary history.","Discovery, matching and compensation context.",H,https://eu.experteer.com/recruiting/page/products_job_postings_hr; https://us.experteer.com/recruiting/terms/privacy_policy
Ivy Exec / Ivy Exec,https://ivyexec.com/,"Executive jobs, community and services",Partial,"Director/CXO professionals pursuing jobs, coaching and paid expertise.","Job membership price unavailable; resume services $150 reformat, $425 rewrite, $995 Elite.","Jobs/community, resume and LinkedIn services, coaching, courses and paid expert-research studies.",No named AI/model found.,Current privacy policy applies to candidate and employer use; product-level AI detail not found.,Broad executive community and adjacent paid-expertise channel.,Services are fragmented rather than one evidence-backed workflow.,Executive member panel and market-research demand.,"Discovery, coaching, branding, outreach and portfolio-income adjacency.",M,https://resume.ivyexec.com/ivyexec-resumewriting/; https://ivyexec.com/privacy-policy
ExecuNet / ExecuNet,https://www.execunet.com/executive-service-options/,Executive job-search membership,Direct,Senior executives targeting $150k-$200k+ roles.,"$39/30 days, $99/90 days, $219/180 days, $399/year.","Researched/matched senior roles, weekly candidate showcases, recruiter directory, 1:1 strategy session, guidance and success-manager access.",No named AI/model found.,"Privacy statement emphasizes limited collection, consent, user rights and security.","Closest candidate-paid bundle of executive roles, recruiter access and human strategy.","Little public source provenance, claim control, versioning or longitudinal decisions.","Long-standing brand, curated roles/recruiter network and executive playbook.","High on discovery, networking and human strategy; weak structured evidence lineage.",H,https://www.execunet.com/premium-join/; https://www.execunet.com/privacy-statement-us/
Korn Ferry Advance / Korn Ferry,https://www.kfadvance.com/,Digital career platform and executive transition,Direct,"US professionals and executives seeking assessment, coaching and career tools.","Advance $49/month; individual executive transition packages $17,100/6 months and $22,800/12 months.","Assessments, Resume Architect, ATS feedback, real-time AI video-interview feedback, coaching, 3,000+ courses and job board.",Named underlying model not public.,Privacy explicitly covers Advance and broad career/assessment data; security materials cite ISO 27001/27018.,"Strong branded integration of assessment, documents, interview practice, learning and coaching.",Broad career advancement rather than source-backed executive opportunity decisions.,"Korn Ferry methodology, benchmarks, coach/search network and brand.","Very high on executive assessment, materials, interview and coaching.",H,https://www.kornferry.com/customer-support-faq; https://www.kornferry.com/privacy; https://www.kornferry.com/privacy/security
LHH Career Transition / LHH (Adecco),https://www.lhh.com/en-us/solutions/outplacement/,Outplacement and career transition,Substitute,Employer-sponsored displaced employees and executives.,Enterprise quote; participant generally employer-funded.,"Career Studio, coaching, assessments, reskilling, CV/job recommendations and GenAI-assisted tools.",GenAI; model not named.,"Privacy covers transition, recruitment, assessment and coaching data; regional notices describe AI recommendations with human oversight.","Scale, coaches, learning, recruitment adjacency and employer distribution.","Sponsor-controlled, episodic entitlement rather than persistent private OS.","Adecco labor-market/recruiter network, employer contracts and outcomes.","High service substitute across documents, coaching, discovery and tracking.",H,https://www-prd.lhh.com/us/en/privacy-policy/
Right Management / ManpowerGroup,https://www.right.com/solutions/outplacement,Outplacement and executive transition,Substitute,"Employer-sponsored executive, individual and group transitions.",Enterprise quote.,"Coaching, PowerSuite Next, assessments, curated jobs, resume/LinkedIn/interview/network support and labor-market intelligence.",AI/ML acknowledged; model not named.,"Global and North America notices cover recipients, PowerSuite, AI/ML, sharing, retention and cross-border processing.","Executive service, credentialed coaches, digital platform and employer scale.","Candidate ownership, provenance and persistent version history unclear.","ManpowerGroup distribution, enterprise relationships and transition data.",High human-service substitute.,H,https://www.right.com/privacy-policy; https://www.right.com/north-america-privacy-policy
Randstad RiseSmart / Randstad Enterprise,https://www.randstadenterprise.com/solutions/talent-transition/outplacement/,Outplacement and career transition,Substitute,Employer-funded transition participants.,Enterprise quote; no cost to participant.,"Certified coach, resume/brand specialist, personal job sourcer, handpicked leads, ranked jobs, networking, alumni access and AI technology.",AI-powered; model not named.,"Publishes SOC 2 Type II, GDPR, CCPA and vulnerability-testing claims.",Unusual human job-sourcing layer plus global recruiter infrastructure.,Employer-scoped with opaque evidence/sourcing logic and no candidate-owned canon.,"Randstad recruiter graph, employer distribution and transition data.","High substitute across sourcing, materials, coaching and tracking.",H,https://www.randstadenterprise.com/compliance-security-and-privacy/
Careerminds / Career.io,https://careerminds.com/outplacement,Outplacement and career-development platform,Substitute,Employer-sponsored participants and HR buyers.,Quote based.,"Coach plus digital platform, documents, networking, job search and employer analytics; 2026 acquisitions include Keystone, Renovo and Job Copilot.",AI-powered ecosystem; model not named.,Says it does not sell personal information; service providers and sponsor-provisioned accounts process data.,Consolidating global delivery plus consumer career technology.,Acquisition integration risk and unclear executive evidence rigor.,"Career.io technology/data, acquired operations and employer contracts.",Broad B2B2C substitute and consolidation threat.,H,https://careerminds.com/news/careerminds-acquires-keystone-partners-renovo-job-copilot-and-outplacement-australia-to-create-a-global-leader-in-end-to-end-workforce-solutions; https://careerminds.com/privacy-policy
INTOO Executive Outplacement / INTOO,https://www.intoo.com/us/solutions/outplacement/executive-outplacement/,Executive outplacement,Substitute,Employer-sponsored senior leaders and executives.,"$600 Solo+, $850 Flex, $1,300 Premium, $3,750 six-month Select executive.","Executive coaching, research, branding, multiple resume versions, LinkedIn, board/consulting/portfolio paths, negotiation and post-landing support.",Broader platform advertises AI-integrated tools; model not named.,No sufficiently product-specific public AI training/retention disclosure located.,"Closest high-touch executive substitute; already covers versions, research, board paths and compensation negotiation.",Temporary service rather than longitudinal private evidence system.,"Coach model, global Career Star/Gi Group network and enterprise distribution.",Extremely high functional substitute.,H,https://www.intoo.com/us/solutions/outplacement/outplacement-pricing/
"Challenger CareerSuite / Challenger, Gray & Christmas",https://www.challengergray.com/outplacement-services/,Outplacement and executive coaching,Substitute,Employer and individual transition clients.,Flexible quote based.,"Full-time coach, ATS resume/LinkedIn, branding, interview and salary prep; proprietary CareerSuite aggregates jobs and supports letters, assessments and mock interviews.",Proprietary AI suite; model not named.,Product-specific public AI data-use detail not located.,"Executive narrative, market research, negotiation, full-time coaches and digital suite.",Episodic service with limited public provenance and AI-governance detail.,"Legacy brand, coach model, labor-market research and employer relationships.",High service substitute.,M,https://www.challengergray.com/outplacement-services/
BetterUp / BetterUp,https://www.betterup.com/products/betterup-ai-coaching,Enterprise leadership and AI/human coaching,Adjacent,Employer-sponsored leaders; individual product is winding down.,Enterprise quote; closed to new/returning individual members.,"BetterUp Grow/AI Coach, human coaches, roleplay, workshops and workplace integrations.",BetterUp AI Coach; foundation model/provider not named in reviewed page.,"Says sessions are confidential, employers receive aggregated/anonymized data, and member data is not used to train foundation models; cites SOC 2/ISO 27001.","Mature hybrid coaching, behavioral science, enterprise trust and integrations.",Not an opportunity-search or application system.,"Coaching corpus, methodology, coach network and enterprise distribution.",Leadership development and interview/behavioral coaching adjacency.,H,https://support.betterup.com/hc/en-us/articles/5023276679835-Plan-Subscription-Management; https://support.betterup.com/hc/en-us/articles/36688702739611-BetterUp-AI-Coach; https://www.betterup.com/trust-and-security
CoachHub AIMY / CoachHub,https://www.coachhub.com/aimy,Enterprise AI and human coaching,Adjacent,Employer-sponsored professionals and leaders.,Enterprise quote.,"AIMY 24/7 AI coaching, 3,500 human coaches and between-session Companion.",AIMY; production provider detail not fully public.,"Materials cite ISO 27001/27701, SOC 2 Type II and GDPR and say individual conversations are not given to HR; privacy covers inputs, outputs and voice transcripts.",Scalable multilingual AI/human coaching and mature controls.,"No role discovery, job evidence or application workflow.","Coach network, methodology and enterprise distribution.",Coaching and reflection adjacency.,H,https://www.coachhub.com/ja/platform-privacy-policy
The Muse Coach Connect / The Muse,https://www.themuse.com/coaching/leadership-coaching,Coaching marketplace and job content,Adjacent,Individuals and enterprises buying one-off coaching.,Leadership session $365 with Coach or $605 with Master Coach.,"Leadership, job-search strategy, resume and interview services paired with jobs/content.",No named AI/model found.,"Terms define coaches as independent consultants and disclaim verification/endorsement, creating a quality-governance tension.",Accessible human marketplace connected to job content.,"One-off engagements, variable practitioner quality and no persistent OS.","Marketplace brand, content traffic and coach supply.","Human coaching, resume and interview adjacency.",H,https://www.themuse.com/user/terms
Pathrise / Pathrise,https://www.pathrise.com/swe,Coached job-search accelerator,Substitute,Primarily technology candidates seeking execution and negotiation help.,Exact current upfront/income-based terms not public; two-week trial and post-placement repayment options described.,"Application strategy, interviews, negotiation; Pro can apply for participant; Career Connect uses AI outreach.",Model not named.,Product-specific AI training detail not located; financing help describes loan/repayment structures.,"Execution depth, mentors, negotiation and outcome-linked economics.","Tech/earlier-career tilt, financing complexity and apply-for-you conflict.","Mentor network, placement playbook and outcome data.","High on coaching, application operations and negotiation.",M,https://www.pathrise.com/help-v2
Spencer Stuart / Spencer Stuart,https://www.spencerstuart.com/what-we-do/our-capabilities/executive-search,Retained executive search,Substitute,Boards and employers hiring CEOs/C-suite; candidates are not buyers.,Employer quote; no candidate fee.,"Global board/C-suite search, assessment and onboarding; Qlu.ai partnership adds AI-supported candidate discovery.",Qlu.ai plus proprietary platform; model not named.,"Privacy covers public/third-party sourcing, interview notes, recordings/transcripts, compensation and client disclosure.","Elite mandates, assessment credibility and onboarding.",Opaque and client-controlled for candidates.,"Relationships, brand, assessment IP and proprietary search platform.","Hidden discovery, fit, compensation and interview support from employer side.",H,https://www.spencerstuart.com/who-we-are/newsroom/spencer-stuart-enters-strategic-partnership-with-ai-powered-firm-qlu; https://www.spencerstuart.com/privacy-policy
Heidrick & Struggles / Heidrick,https://www.heidrick.com/en/services/executive-search,Retained executive search,Substitute,Employers hiring C-suite and boards.,Employer quote; no candidate fee.,"Active/passive sourcing, culture and leadership assessment, post-placement advice and Navigator intelligence.",AI-powered Heidrick Navigator; Eightfold partnership; model not fully disclosed.,"May 2026 notice says candidate data may maintain, improve and train Navigator.","Search, digital leadership intelligence and consulting in one firm.","Rich candidate processing serves client searches, not candidate control.","Search/assessment data, Navigator, relationships and global brand.","Employer-side hidden discovery, fit and assessment.",H,https://www.heidrick.com/en/privacy/privacy-notice-english
Russell Reynolds Associates / RRA,https://www.russellreynolds.com/en/capabilities/how-do-i-find-the-best-leaders,Retained executive search,Substitute,Boards and employers seeking CEO/C-suite leadership.,Employer quote; no candidate fee.,"Executive/board discovery, succession, assessment and integration.",No named public candidate-matching model found.,"June 2026 notice covers public/third-party sourcing, psychometrics, verification, client sharing and de-identified analytics/research.",Strategic advisory and structured leadership assessment.,Long opaque employer-controlled process.,"Relationships, proprietary research/assessment and institutional history.","Employer-side discovery, assessment and integration support.",H,https://www.russellreynolds.com/en/privacy-notice
Egon Zehnder / Egon Zehnder,https://www.egonzehnder.com/what-we-do/executive-search,Retained executive search,Substitute,Boards and employers hiring senior leaders.,Employer quote; no candidate fee.,"Bespoke search, internal/external benchmarking, succession, potential and culture assessment.",No named AI model found.,"Privacy covers direct, public, social and BoardEx-sourced data, compensation, suitability assessments and client disclosure.",Partner-led trust and assessment depth.,Candidate visibility and opportunity choice remain limited.,"Global partnership, trusted networks, assessment IP and off-limits relationships.",Employer-side hidden market and fit assessment.,H,https://www.egonzehnder.com/privacy-policy
True Search / True Platform,https://trueplatform.com/true-search/,Technology-forward retained executive search,Substitute,"Technology, private-equity and growth employers.",Employer quote; no candidate fee.,"Search, assessment, interim talent, talent labs and introductions; publishes AI Capability Index and vendor-reported placement metrics.",Proprietary data/AI; model detail not public.,Privacy covers candidates considered for client opportunities.,Most visibly technology-forward search substitute with startup/PE relevance.,Predictive claims need independent validation and workflow is buyer-controlled.,"Technology-company/talent graph, specialist data and client relationships.",Employer-side executive opportunity and assessment intelligence.,H,https://trueplatform.com/; https://trueplatform.com/contact/opt-out-guide/privacy-policy/
N2Growth / N2Growth,https://www.n2growth.com/services/executive-search/,Executive search and leadership advisory,Substitute,"Boards, private-equity firms and employers hiring C-suite.",Employer quote; no candidate fee.,"Vue client dashboards, evaluations, compensation, geography/mobility and AI-driven data streams with psychometrics.",Proprietary Vue/AI; model not named.,"Privacy covers resumes/contact data, analytics providers, rights and automated-decision disclosures.","Visible combination of search, coaching, dashboards and mobility/compensation intelligence.",Employer-side and proprietary performance claims.,"Vue, board/PE specialization, relationships and assessment data.",Important employer-side benchmark for comp/relocation and executive fit.,H,https://www.n2growth.com/privacy-policy/
BoardProspects / BoardProspects,https://www.boardprospects.com/membership,Board-career network and marketplace,Partial,Executives pursuing board roles.,Free; $499/year Core; $999/year Coached.,"Board profile/search visibility, opportunity applications, community, networking, office hours, interview/comp guidance, coaching and AI Board Bio Generator.",AI bio generator; model not named.,Current portal privacy policy; explicitly disclaims placement guarantees.,Focused board opportunities and honest expectations.,"Board-only, not a complete executive-career system.","Board community, marketplace liquidity and specialization.","Board discovery, networking, materials and coaching.",H,https://portal.boardprospects.com/privacy
Athena Alliance / Athena Alliance,https://athenaalliance.com/,Premium board and portfolio-career community,Partial,"Experienced executives, especially senior women, pursuing board/C-suite/investor/founder paths.","Membership from $3,000; Modern Boardroom $8,000 including membership or $4,500 existing members.","Community, member advisor, coaching, content, curated introductions and opportunity access.",No named job-search AI/model found.,Detailed product data disclosure was not retrievable in this review.,"High-caliber community, warm introductions and portfolio-career framing.",Expensive and relationship-led rather than evidence/workflow-led.,Curated senior-women network and trusted introductions.,"Executive networking, board paths and human guidance.",M,https://athenaalliance.com/athena-academy/modern-boardroom/
ChatGPT / OpenAI,https://openai.com/chatgpt/pricing/,General-purpose AI workspace,Substitute,"Individuals and teams able to assemble a bespoke career workflow through prompts, projects, files, memory and research.",Free; Go $8/month; Plus $20/month; Pro tiers $100 and $200/month; business plans separate.,"General research, source review, structured analysis, writing, revision, file handling, projects, memory and custom workflows; no native executive job system.",OpenAI model suite; exact models and limits vary by plan and change frequently.,Consumer content may be used to improve models unless the user opts out; business/API data is not used for training by default.,"Extremely flexible, low-cost, fast and capable of reproducing most generation/analysis components manually.","DIY setup, no native Career Canon semantics, source-to-action audit, job pipeline or domain-specific approval policy.","Frontier models, product ecosystem, user habit and distribution.",Very high as a DIY substitute when paired with Notion/Airtable; low native workflow control.,H,https://openai.com/chatgpt/pricing/; https://help.openai.com/en/articles/9793128-what-is-chatgpt-pro/; https://openai.com/policies/how-your-data-is-used-to-improve-model-performance/
Claude / Anthropic,https://claude.com/pricing,General-purpose AI workspace,Substitute,"Individuals and teams building bespoke research, writing and analysis workflows.",Free; Pro $20/month or $17/month annually; Max from $100/month; team/enterprise plans separate.,"Research, projects, memory, file creation/analysis, connectors and long-form reasoning; no native executive job pipeline.",Anthropic Claude model family; model availability varies by plan.,"Consumer chats are used for model improvement only when users allow it, for safety review or other explicit opt-in; commercial products do not train on content by default.","Strong long-form analysis, document work and configurable project context at low cost.","DIY workflow, no native job-source capture, evidence-state system, application tracking or approval ledger.","Model capabilities, safety reputation, context handling and ecosystem.",High as a DIY substitute paired with workflow/database software.,H,https://claude.com/pricing; https://privacy.anthropic.com/en/articles/10023580-is-my-data-used-for-model-training
